dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories,webshop_bucket_variant
dbbench,gptoss20b,dbbench-gptoss20b,101,MC-OE,16,complete_z16_ordered_prefix,300,300,1.0,0.7796758853132647,0.674937960292964,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PE,3,complete_z16_ordered_prefix,300,300,1.0,0.6090770580359204,0.5155788022733685,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PE,4,complete_z16_ordered_prefix,300,300,1.0,0.6049679117226096,0.5170304789006908,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PE,6,complete_z16_ordered_prefix,300,300,1.0,0.5882081351862967,0.5581639798993875,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PE,8,complete_z16_ordered_prefix,300,300,1.0,0.61235514104991,0.5638997474602191,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PE,12,complete_z16_ordered_prefix,300,300,1.0,0.6242670483401818,0.5585593264057351,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PE,16,complete_z16_ordered_prefix,300,300,1.0,0.6467980977884482,0.571709736250309,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PPL,3,complete_z16_ordered_prefix,300,300,1.0,0.5222309432568447,0.42093101792905585,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PPL,4,complete_z16_ordered_prefix,300,300,1.0,0.5048709543376887,0.39663815771807676,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PPL,6,complete_z16_ordered_prefix,300,300,1.0,0.49642181079458886,0.39666929595346617,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PPL,8,complete_z16_ordered_prefix,300,300,1.0,0.48367884020499563,0.39456599156487543,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PPL,12,complete_z16_ordered_prefix,300,300,1.0,0.45768502700955727,0.39809912680612947,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,PPL,16,complete_z16_ordered_prefix,300,300,1.0,0.47555288794496514,0.4021804317726265,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SAUP,16,complete_z16_endpoint_only,300,300,1.0,0.6482755436539083,0.5867583664564847,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SD,3,complete_z16_ordered_prefix,300,300,1.0,0.5871231358788495,0.4753838738608461,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SD,4,complete_z16_ordered_prefix,300,300,1.0,0.5954799390553581,0.4676881257765624,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SD,6,complete_z16_ordered_prefix,300,300,1.0,0.5954799390553581,0.4676881257765624,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SD,8,complete_z16_ordered_prefix,300,300,1.0,0.5954799390553581,0.4676881257765624,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SD,12,complete_z16_ordered_prefix,300,300,1.0,0.5954799390553581,0.4676881257765624,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SD,16,complete_z16_ordered_prefix,300,300,1.0,0.5954799390553581,0.4676881257765624,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SE,3,complete_z16_ordered_prefix,300,300,1.0,0.5996121704603168,0.542875466014304,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,SE,4,complete_z16_ordered_prefix,300,300,1.0,0.5988272773442911,0.5456673106669883,4.0,
