setting,rho,window,dataset,backbone,seed,cell,delta_auroc,delta_aupr,saving,mean_trajectories
rho70_wall,0.7,all,hotpotqa,gemma3,101,hotpotqa-gemma3-seed101,-0.01625530064151352,-0.012607052796208995,0.29965277777777777,5.717666666666666
rho70_wall,0.7,all,hotpotqa,gemma3,202,hotpotqa-gemma3-seed202,-0.01863228675496335,-0.023658353915318325,0.29925694444444445,5.716
rho70_wall,0.7,all,hotpotqa,gemma3,303,hotpotqa-gemma3-seed303,-0.013074880908782375,-0.021359199414044443,0.29965277777777777,5.7145
rho70_wall,0.7,all,hotpotqa,gptoss20b,101,hotpotqa-gptoss20b-seed101,-0.01153274903164662,-0.034111903454480376,0.29935069444444445,5.72
rho70_wall,0.7,all,hotpotqa,gptoss20b,202,hotpotqa-gptoss20b-seed202,-0.019388153314017498,-0.03683747302000582,0.30044444444444446,5.714166666666666
rho70_wall,0.7,all,hotpotqa,gptoss20b,303,hotpotqa-gptoss20b-seed303,-0.012695888691285665,-0.03136364290572369,0.3001701388888889,5.716333333333334
rho70_wall,0.7,all,hotpotqa,qwen35,101,hotpotqa-qwen35-seed101,-0.01897728818169449,-0.031414635438905734,0.29941666666666666,5.7156666666666665
rho70_wall,0.7,all,hotpotqa,qwen35,202,hotpotqa-qwen35-seed202,-0.018836178650786867,-0.04211315848116939,0.29917708333333337,5.721166666666666
rho70_wall,0.7,all,hotpotqa,qwen35,303,hotpotqa-qwen35-seed303,-0.020199328869225857,-0.0376170053863768,0.29901736111111116,5.722833333333333
rho70_wall,0.7,all,strategyqa,gemma3,101,strategyqa-gemma3-seed101,-0.02678672364285876,-0.015254741202516858,0.2999555232087983,5.719796215429402
rho70_wall,0.7,all,strategyqa,gemma3,202,strategyqa-gemma3-seed202,-0.026521042461944477,-0.01291597731092839,0.30094614264919944,5.70790878214459
rho70_wall,0.7,all,strategyqa,gemma3,303,strategyqa-gemma3-seed303,-0.023569678118667243,-0.007041817104353264,0.2990609332039463,5.724405628335759
rho70_wall,0.7,all,strategyqa,gptoss20b,101,strategyqa-gptoss20b-seed101,-0.022187822497420035,-0.0066208776498053274,0.2994349425845059,5.726831635128579
rho70_wall,0.7,all,strategyqa,gptoss20b,202,strategyqa-gptoss20b-seed202,-0.01787107654358276,-0.011700915971740194,0.2991721251819505,5.72319262493935
rho70_wall,0.7,all,strategyqa,gptoss20b,303,strategyqa-gptoss20b-seed303,-0.01335387776065742,-0.008870141208668936,0.3000768235484393,5.722707423580786
rho70_wall,0.7,all,strategyqa,qwen35,101,strategyqa-qwen35-seed101,-0.007441282746160831,-0.009826599874213332,0.3008349506711952,5.710819990295973
rho70_wall,0.7,all,strategyqa,qwen35,202,strategyqa-qwen35-seed202,-0.01516424038820452,-0.012568261149236926,0.2973930535338832,5.741872877244056
rho70_wall,0.7,all,strategyqa,qwen35,303,strategyqa-qwen35-seed303,-0.006568179860453142,-0.005401061311554989,0.2989497412259421,5.72319262493935
rho70_wall,0.7,all,webshop,gemma3,101,webshop-gemma3-seed101,-0.012034406565656538,-0.002611835204816263,0.2959895833333333,5.746666666666667
rho70_wall,0.7,all,webshop,gemma3,202,webshop-gemma3-seed202,0.02216901658242439,0.004571630867856539,0.2983854166666667,5.726666666666667
rho70_wall,0.7,all,webshop,gemma3,303,webshop-gemma3-seed303,0.0024259448416751503,0.001782447353351313,0.30015624999999996,5.711666666666667
rho70_wall,0.7,all,webshop,gptoss20b,101,webshop-gptoss20b-seed101,0.00634892511221354,0.0010310676693658556,0.29949652777777774,5.718333333333334
rho70_wall,0.7,all,webshop,gptoss20b,202,webshop-gptoss20b-seed202,0.0008060515873015891,-0.0003904461523097276,0.3003298611111111,5.711666666666667
rho70_wall,0.7,all,webshop,gptoss20b,303,webshop-gptoss20b-seed303,0.022290426587301588,0.006290137766737351,0.2980381944444444,5.720833333333334
rho70_wall,0.7,all,webshop,qwen35,101,webshop-qwen35-seed101,-0.006859756097560936,-0.0009272547535853678,0.29921875,5.7250000000000005
rho70_wall,0.7,all,webshop,qwen35,202,webshop-qwen35-seed202,0.005349608197709447,-0.0008966256699604233,0.2999305555555556,5.714166666666666
rho70_wall,0.7,all,webshop,qwen35,303,webshop-qwen35-seed303,-0.022583559168925033,-0.006782468033701139,0.29998263888888893,5.71
rho75_w2,0.75,2,dbbench,gemma3,101,dbbench-gemma3-seed101,0.00027327674897118886,0.0016492779600300416,0.2149537037037037,6.628333333333333
rho75_w2,0.75,2,dbbench,gemma3,202,dbbench-gemma3-seed202,0.0024945580501136524,0.0029135209231836434,0.21354166666666666,6.632777777777778
rho75_w2,0.75,2,dbbench,gemma3,303,dbbench-gemma3-seed303,0.00043534701114489316,0.0019614295974848726,0.21381944444444445,6.631666666666667
rho75_w2,0.75,2,dbbench,gptoss20b,101,dbbench-gptoss20b-seed101,-0.014682118288009563,-0.02230264405552775,0.21542824074074074,6.627777777777777
rho75_w2,0.75,2,dbbench,gptoss20b,202,dbbench-gptoss20b-seed202,-0.016372894633764196,-0.016062119760509974,0.21184027777777778,6.638333333333333
rho75_w2,0.75,2,dbbench,gptoss20b,303,dbbench-gptoss20b-seed303,-0.022970774237121645,-0.02602148326809926,0.212962962962963,6.635000000000001
rho75_w2,0.75,2,dbbench,qwen35,101,dbbench-qwen35-seed101,0.001096754567142218,0.0014635711250936916,0.2147916666666667,6.627777777777777
rho75_w2,0.75,2,dbbench,qwen35,202,dbbench-qwen35-seed202,-0.0030922038980510194,-0.0023996265503295477,0.2156597222222222,6.622777777777777
rho75_w2,0.75,2,dbbench,qwen35,303,dbbench-qwen35-seed303,0.001348729354976023,-0.0020702979673740685,0.21581018518518516,6.623333333333334
rho75_w2,0.75,2,hotpotqa,gemma3,101,hotpotqa-gemma3-seed101,-0.009253554231989258,-0.008102266062654092,0.2144965277777778,6.627666666666666
rho75_w2,0.75,2,hotpotqa,gemma3,202,hotpotqa-gemma3-seed202,-0.013922415874088712,-0.014282279627164255,0.21478125,6.6275
rho75_w2,0.75,2,hotpotqa,gemma3,303,hotpotqa-gemma3-seed303,-0.00876801124709394,-0.007315226143132088,0.21498611111111113,6.626333333333334
rho75_w2,0.75,2,hotpotqa,gptoss20b,101,hotpotqa-gptoss20b-seed101,-0.00663253807270033,-0.01477453993881552,0.21529513888888893,6.625333333333333
rho75_w2,0.75,2,hotpotqa,gptoss20b,202,hotpotqa-gptoss20b-seed202,-0.014270012128562807,-0.015399356720295687,0.21476736111111108,6.626833333333333
rho75_w2,0.75,2,hotpotqa,gptoss20b,303,hotpotqa-gptoss20b-seed303,-0.006923318338738309,-0.012257548521899161,0.21445486111111112,6.6295
rho75_w2,0.75,2,hotpotqa,qwen35,101,hotpotqa-qwen35-seed101,-0.010801713586291265,-0.012543070754185667,0.2154236111111111,6.625166666666668
rho75_w2,0.75,2,hotpotqa,qwen35,202,hotpotqa-qwen35-seed202,-0.01003183867315697,-0.012538680231963842,0.21394097222222222,6.63
rho75_w2,0.75,2,hotpotqa,qwen35,303,hotpotqa-qwen35-seed303,-0.010210165552016795,-0.00911328610715643,0.2150486111111111,6.6265
rho75_w2,0.75,2,strategyqa,gemma3,101,strategyqa-gemma3-seed101,-0.01371837482194943,-0.005118062759225527,0.21522723596959406,6.626637554585153
rho75_w2,0.75,2,strategyqa,gemma3,202,strategyqa-gemma3-seed202,-0.014144163249917482,-0.001766951517701713,0.21414564127446226,6.6297913634158165
rho75_w2,0.75,2,strategyqa,gemma3,303,strategyqa-gemma3-seed303,-0.013507940996276982,-0.007519292693221519,0.2134077308749798,6.633430373605045
rho75_w2,0.75,2,strategyqa,gptoss20b,101,strategyqa-gptoss20b-seed101,-0.015366608774446918,-0.012965437989343262,0.21553554099951477,6.624454148471616
rho75_w2,0.75,2,strategyqa,gptoss20b,202,strategyqa-gptoss20b-seed202,-0.006456241032998559,-0.00400835326909398,0.21492903930131005,6.62639495390587
rho75_w2,0.75,2,strategyqa,gptoss20b,303,strategyqa-gptoss20b-seed303,-0.006271456762090159,-0.002678547130676769,0.2155052159146046,6.624454148471616
rho75_w2,0.75,2,strategyqa,qwen35,101,strategyqa-qwen35-seed101,-0.006884221619993987,-0.00808096967448201,0.21572759987061296,6.624211547792334
rho75_w2,0.75,2,strategyqa,qwen35,202,strategyqa-qwen35-seed202,-0.013060987165130525,-0.008016546965198212,0.21536369885169013,6.62615235322659
rho75_w2,0.75,2,strategyqa,qwen35,303,strategyqa-qwen35-seed303,-0.005347862290751422,-0.0017086200102387112,0.21425683325246644,6.629306162057254
rho75_w2,0.75,2,webshop,gemma3,101,webshop-gemma3-seed101,-0.014678030303030295,-0.003704421817923594,0.2141666666666667,6.633333333333333
rho75_w2,0.75,2,webshop,gemma3,202,webshop-gemma3-seed202,0.013523100115278889,0.0029230541665793233,0.21541666666666667,6.629166666666666
rho75_w2,0.75,2,webshop,gemma3,303,webshop-gemma3-seed303,0.0017875383043922295,0.0013004101976971105,0.21307291666666664,6.635000000000001
rho75_w2,0.75,2,webshop,gptoss20b,101,webshop-gptoss20b-seed101,0.00044294826364282835,0.0005326003182188344,0.21354166666666666,6.633333333333333
rho75_w2,0.75,2,webshop,gptoss20b,202,webshop-gptoss20b-seed202,-0.0020151289682539355,-0.0011496437709797764,0.21505208333333337,6.6275
