dataset,backbone,seed,budget,count_mse,fused_mse,coverage95,mean_variance
strategyqa,qwen35,303,8,0.032457131433276665,0.02860668493335733,0.9737991266375546,0.02575097771036726
strategyqa,qwen35,303,12,0.019696363246755836,0.018574985960592122,0.9839883551673945,0.019967671073272093
strategyqa,qwen35,303,16,0.011955917983377678,0.01185072406655721,0.9985443959243085,0.01613645169387336
webshop,gemma3,101,3,0.05927296611547156,0.057488273151822006,0.92,0.022117197000956525
webshop,gemma3,101,4,0.04908567006822703,0.050482810930108216,0.92,0.019133714169370368
webshop,gemma3,101,6,0.031189161775299973,0.033634984083926026,0.935,0.015749559793743585
webshop,gemma3,101,8,0.01879027871065856,0.02212789190259733,0.965,0.01350247980758343
webshop,gemma3,101,12,0.01041758301972147,0.013572366519163883,0.985,0.010577739650300726
webshop,gemma3,101,16,0.0051754863477253546,0.0077953513182994335,1.0,0.008825526303376373
webshop,gemma3,202,3,0.06102510136228358,0.06632520676040712,0.89,0.024004831916071237
webshop,gemma3,202,4,0.052504780291015817,0.05654045818674191,0.91,0.02059677066549375
webshop,gemma3,202,6,0.029802800802648997,0.03414390939667074,0.95,0.01621860951943271
webshop,gemma3,202,8,0.01831921401840748,0.02291597775344463,0.96,0.013814178084388798
webshop,gemma3,202,12,0.009871888687164813,0.013476542195626435,0.995,0.010748124028575591
webshop,gemma3,202,16,0.005150372436353502,0.007896063068335058,1.0,0.008701930032010674
webshop,gemma3,303,3,0.057277539955816026,0.04938099955060021,0.92,0.021505632410490163
webshop,gemma3,303,4,0.05300217234316315,0.04704440578747479,0.93,0.019351938556520263
webshop,gemma3,303,6,0.029539951526839085,0.03156355927662863,0.935,0.015730366947639306
webshop,gemma3,303,8,0.019748925895916522,0.02378691273076578,0.96,0.013931628319427309
webshop,gemma3,303,12,0.010101647223418069,0.013811631381360432,0.995,0.011286944767766068
webshop,gemma3,303,16,0.005207212410344132,0.00799014204942161,1.0,0.00943621251605585
webshop,gptoss20b,101,3,0.060750936719490875,0.05202306039278699,0.915,0.020358562164791327
webshop,gptoss20b,101,4,0.05527798845538065,0.04871046817308158,0.9,0.018068533526677685
webshop,gptoss20b,101,6,0.025223876744703257,0.024873936418625522,0.935,0.014202090091446766
webshop,gptoss20b,101,8,0.018587783719858454,0.01979755995831006,0.945,0.012186780079399669
webshop,gptoss20b,101,12,0.010358873112853448,0.013362829250125208,0.965,0.009995552080214846
webshop,gptoss20b,101,16,0.004855626650228438,0.007477622103776854,1.0,0.008143687080370976
webshop,gptoss20b,202,3,0.07731030917657482,0.05927840838398131,0.895,0.020018858149608843
webshop,gptoss20b,202,4,0.0600309312662208,0.04582460484236625,0.91,0.0173580624312631
